TR1,TR2,TP1,TP2
44000402,216420082,43933813,216352622
44051502,216214863,43984912,216147410
44035520,216283579,43968931,216216128
44025192,216356884,43958599,216289432
44096276,216546930,44029692,216479468
43968648,216332528,43902060,216265080
44037539,216372702,43970957,216305245
44078114,216398176,44011532,216330718
43999310,216321333,43932721,216253874
43952721,216309045,43886125,216241583
43995653,216246657,43929064,216179195
43926512,216317335,43859921,216249872
43992626,216249689,43926036,216182222
43967678,216432323,43901089,216364866
44035943,216464415,43969356,216396953
43952116,216309640,43885538,216242188
44017760,216326965,43951173,216259488
43929759,216408820,43863161,216341345
44054225,216290477,43987646,216223023
44106021,216679519,44039434,216612059
44021109,216430609,43954531,216363147
43920836,216314297,43854248,216246844
43957245,216371087,43890651,216303619
43969541,216447364,43902942,216379899
44008938,216373656,43942348,216306198
43947444,216411613,43880847,216344140
43991912,216413208,43925323,216345752
44029755,216371795,43963156,216304325
43922163,216381588,43855577,216314125
44034728,216368871,43968133,216301400
44098062,216640376,44031484,216572914
44002651,216399411,43936069,216331941
44021412,216229102,43954822,216161628
43959796,216443294,43893195,216375820
44005727,216389678,43939129,216322209
43995353,216428228,43928759,216360743
43913669,216318401,43847075,216250939
44036226,216353022,43969642,216285566
44069176,216570955,44002587,216503496
43955111,216348136,43888516,216280665
43963938,216259434,43897349,216191966
44069515,216385280,44002931,216317813
44015422,216380488,43948829,216313026
43945976,216271751,43879391,216204296
44001453,216399583,43934864,216332115
43981161,216353313,43914570,216285847
44030539,216358725,43963939,216291253
44038928,216430199,43972352,216362736
43962327,216373177,43895731,216305705
43950644,216378712,43884053,216311244
43922540,216405793,43855956,216338324
44023943,216374535,43957359,216307065
43999381,216242950,43932791,216175467
43983986,216435997,43917396,216368526
43958927,216293624,43892334,216226161
44003031,216321206,43936441,216253737
43922305,216485390,43855714,216417919
43992563,216471454,43925965,216403981
43997726,216290168,43931131,216222690
44000193,216341967,43933610,216274495
44117382,216534536,44050792,216467066
43971477,216302071,43904910,216234603
44035480,216301046,43968897,216233576
44040005,216426571,43973421,216359099
44001959,216396007,43935377,216328537
44070364,216734130,44003775,216666660
44072221,216288379,44005628,216220899
43976359,216478441,43909769,216410969
43966592,216340245,43899994,216272768
43969660,216288530,43903067,216221060
44042460,216465075,43975870,216397604
43958567,216441957,43891984,216374489
44066148,216650292,43999557,216582812
43875274,216354245,43808675,216286774
44006481,216335676,43939882,216268207
43872990,216350387,43806397,216282914
43957537,216376949,43890942,216309471
43979002,216435357,43912405,216367878
44034210,216463597,43967621,216396126
43950683,216422711,43884087,216355237
43996620,216384452,43930030,216316980
43935466,216271535,43868879,216204054
44009977,216431004,43943380,216363527
44004133,216238195,43937543,216170715
43998339,216350997,43931751,216283517
44089886,216629114,44023297,216561634
43959808,216509322,43893220,216441856
44035550,216407985,43968970,216340514
43965328,216371209,43898735,216303728
43989209,216213686,43922621,216146215
43921887,216334774,43855304,216267297
44000459,216338642,43933872,216271157
43984846,216327117,43918260,216259634
43972201,216345371,43905624,216277911
43959070,216430210,43892478,216362722
44064711,216553926,43998124,216486457
43992170,216401186,43925590,216333718
43993327,216472229,43926742,216404753
43986202,216412800,43919609,216345318
44040492,216373360,43973906,216305876
44034425,216266786,43967831,216199303
43919313,216415170,43852725,216347695
43957808,216464226,43891219,216396752
44003912,216317261,43937323,216249784
43995228,216316730,43928644,216249252
43987135,216414942,43920545,216347457
44052782,216343148,43986191,216275666
43918236,216352755,43851660,216285284
44087314,216290680,44020731,216223214
44048029,216374508,43981451,216307043
43956592,216342561,43889999,216275088
43957809,216284508,43891221,216217039
43999510,216253560,43932920,216186090
43989120,216417549,43922527,216350080
44051432,216237994,43984841,216170520
44062050,216346684,43995458,216279198
44020856,216437530,43954267,216370056
44084633,216670196,44018053,216602727
44027504,216375585,43960915,216308112
44025183,216392248,43958588,216324769
43996809,216457993,43930220,216390519
43913693,216357297,43847102,216289827
43983163,216421966,43916571,216354501
44049069,216403681,43982483,216336211
43971631,216501604,43905038,216434129
43964296,216258563,43897707,216191096
43997870,216271596,43931280,216204114
43955178,216391591,43888585,216324118
43997502,216287313,43930907,216219842
43994258,216440565,43927668,216373102
43987448,216319375,43920864,216251912
43916639,216481330,43850048,216413857
44092585,216557804,44025994,216490327
44030465,216390030,43963872,216322559
43956569,216449579,43889987,216382119
44078769,216560354,44012177,216492879
44062060,216617511,43995472,216550036
43934164,216287169,43867576,216219692
43945028,216416595,43878439,216349116
44024979,216358138,43958403,216290669
44035829,216285865,43969229,216218379
43980067,216353918,43913476,216286429
43960552,216302763,43893970,216235288
44005558,216280799,43938969,216213322
43918559,216380084,43851975,216312609
43954971,216447611,43888394,216380133
43924210,216283298,43857623,216215822
44044438,216300277,43977865,216232810
43961441,216299313,43894860,216231839
43911705,216325006,43845109,216257511
44038100,216421314,43971516,216353836
44053406,216249343,43986813,216181858
44064091,216290886,43997502,216223397
44049170,216332936,43982587,216265454
43998895,216306916,43932312,216239441
44061786,216277308,43995199,216209830
44036598,216372120,43970021,216304650
43986836,216413701,43920250,216346220
43958102,216436291,43891510,216368810
44006144,216396951,43939561,216329472
44057289,216341716,43990702,216274231
44006111,216314554,43939520,216247073
43997482,216333931,43930890,216266454
43965863,216416227,43899284,216348761
43926067,216438626,43859482,216371149
44023449,216374523,43956871,216307047
43997421,216384689,43930830,216317203
43959085,216342635,43892493,216275155
44002656,216222772,43936064,216155296
43933093,216293876,43866507,216226395
44040127,216243659,43973544,216176193
44001299,216437631,43934714,216370157
44092099,216342726,44025514,216275261
44023202,216377338,43956606,216309854
44014206,216226583,43947625,216159106
44031787,216326264,43965185,216258773
43917234,216485856,43850643,216418382
44059231,216400687,43992652,216333217
