TR1,TR2,TP1,TP2
44003676,215981617,43936988,215915172
43962405,216158550,43895720,216092123
44022005,216142486,43955310,216076043
43947428,216036317,43880739,215969884
44001861,216121672,43935167,216055227
44073574,216371007,44006879,216304538
44016055,216158678,43949372,216092233
43996548,216101391,43929847,216034940
44066732,216307176,44000035,216240724
44073959,216049094,44007243,215982617
44072857,216045567,44006157,215979111
44008080,216370956,43941380,216304496
44010867,216174616,43944185,216108173
43960497,215971035,43893806,215904591
44044292,216329620,43977592,216263164
43983723,216063007,43917038,215996565
43994797,216123096,43928112,216056659
43879903,216178113,43813203,216111649
43927677,216070413,43860995,216003971
44043567,216339031,43976887,216272593
43987816,216051222,43921141,215984792
43988237,216107160,43921532,216040691
44095211,216278682,44028529,216212245
43992937,216058420,43926244,215991959
44068315,216114127,44001609,216047653
43985375,216199627,43918686,216133153
44037104,216311199,43970409,216244752
43873968,216134872,43807288,216068432
43919341,216112042,43852648,216045587
43920279,216062980,43853577,215996521
44097393,216202258,44030723,216135823
43966427,216065476,43899728,215999013
43915890,216120079,43849207,216053646
43963261,216203277,43896573,216136835
44026611,216150153,43959931,216083725
44039392,216316077,43972708,216249632
44082454,216291959,44015757,216225514
44034928,216283157,43968232,216216720
43967508,216217471,43900807,216151020
44021991,216216225,43955296,216149785
44031330,216019513,43964624,215953054
44018182,216156047,43951477,216089594
44091625,216208014,44024941,216141591
44018291,216170766,43951599,216104333
43961441,216085282,43894754,216018847
44034167,216357140,43967472,216290697
44005486,216102673,43938797,216036242
43896300,216076202,43829596,216009748
43952375,216041616,43885687,215975177
43960369,216093522,43893676,216027087
43947880,216091699,43881174,216025240
43889851,216083664,43823156,216017221
43996822,216054015,43930116,215987562
43953655,216039312,43886957,215972873
44016486,216336927,43949802,216270490
44030688,215962813,43963972,215896352
44073511,216052077,44006804,215985625
43953974,216041554,43887282,215975114
43952661,216120194,43885954,216053739
43988598,216043291,43921903,215976842
44053631,216112900,43986924,216046465
44054581,216361297,43987882,216294859
43915701,216115666,43849009,216049227
43880232,216185957,43813538,216119512
44060715,216236386,43994020,216169941
43917749,216125904,43851066,216059467
43987663,216108746,43920969,216042289
44031039,216055629,43964340,215989185
43919406,216190811,43852713,216124370
43991689,216108297,43924987,216041847
44034901,216115273,43968196,216048811
44038234,216089900,43971532,216023462
43926899,216070164,43860211,216003725
43918056,216075936,43851363,216009496
43931922,216192122,43865223,216125678
44051943,216061331,43985249,215994905
44033195,216017605,43966521,215951189
43976565,216208392,43909881,216141963
44033545,216317316,43966848,216250871
44099683,216128301,44032971,216061853
44033704,216132809,43967036,216066392
44107058,216153673,44040366,216087246
44034013,216090043,43967298,216023587
44033158,216010498,43966463,215944058
43914539,216148566,43847851,216082133
44100069,216271250,44033378,216204827
43966178,216085145,43899482,216018718
43971037,216139684,43904336,216073251
44024110,216085578,43957424,216019154
44032220,216347808,43965525,216281380
44085938,216238802,44019247,216172366
44029582,216257276,43962876,216190834
44019755,216425297,43953073,216358869
44090847,216260000,44024156,216193569
44001700,216150484,43935013,216084060
44017570,216110037,43950885,216043614
44024802,216271771,43958112,216205342
44077668,216155415,44010971,216088988
44069661,216052322,44002963,215985891
44028422,216337797,43961710,216271354
44003578,215979131,43936885,215912710
44086890,216353561,44020181,216287126
44073384,216282063,44006696,216215640
43992315,216446074,43925621,216379653
44023418,216210181,43956719,216143750
43960890,216198457,43894190,216132038
43999279,216112968,43932588,216046545
44003449,216036102,43936755,215969671
43995378,216058487,43928691,215992078
44073397,216280002,44006700,216213579
44050598,216386772,43983881,216320346
43995503,216062483,43928815,215996049
44024891,216083259,43958190,216016837
44060901,216305799,43994216,216239387
44017600,216107954,43950901,216041536
44000448,216124587,43933754,216058176
44070840,216220599,44004152,216154184
43950247,216209107,43883543,216142681
44000608,216028181,43933914,215961760
43995697,216065350,43929009,215998927
43997475,215983193,43930763,215916765
43992124,215987527,43925417,215921092
43954543,215968257,43887856,215901841
43995887,216038001,43929207,215971601
44066534,216284301,43999847,216217882
44049206,216388148,43982508,216321738
43989471,216056207,43922763,215989793
44055195,216359639,43988480,216293221
43957627,216288764,43890927,216222341
43990621,216057625,43923902,215991203
43997406,216450194,43930722,216383778
44068815,216289689,44002114,216223281
43881687,216094358,43814982,216027945
44000680,216296890,43933989,216230488
43885347,216035914,43818658,215969501
44012448,216289737,43945756,216223328
44053560,216174370,43986870,216107976
43998496,216160849,43931798,216094432
43994160,216232265,43927460,216165840
43924305,216077339,43857592,216010927
43997316,216113403,43930603,216046972
44012395,216024067,43945709,215957653
44058214,216322320,43991491,216255898
44068695,215975960,44001989,215909545
43991722,216116423,43925026,216050006
43992172,216118533,43925468,216052116
43944580,216027892,43877874,215961468
43877996,216038666,43811281,215972244
44054046,216237913,43987337,216171490
43975099,216115625,43908404,216049221
43987823,215985649,43921133,215919249
43998474,216126048,43931767,216059638
44052583,216122124,43985873,216055705
43934626,216190410,43867924,216123998
44063026,216058410,43996338,215992014
43970791,215994506,43904098,215928089
43879531,216100101,43812841,216033685
44060622,215929253,43993911,215862834
43999569,216031767,43932859,215965359
44055335,216254020,43988644,216187609
43918083,216054366,43851385,215987965
44060468,215983674,43993765,215917260
44037994,216007686,43971297,215941270
43980710,216121805,43913995,216055386
44115445,216258418,44048749,216192011
44062317,216303874,43995617,216237459
43995389,216058482,43928692,215992067
43992490,216197061,43925792,216130646
44039339,216080576,43972641,216014165
43876843,216255867,43810143,216189461
44048688,216338967,43982000,216272592
44060397,216359537,43993711,216293139
43913924,216064153,43847222,215997756
43925683,216126639,43858986,216060237
43995862,216038038,43929148,215971626
44000606,216028693,43933888,215962274
43992552,216128384,43925858,216061976
43936804,216104268,43870093,216037852
44037613,216337272,43970912,216270867
43916666,216126433,43849966,216060038
44037389,216338520,43970675,216272115
43982963,215989514,43916230,215923085
44059016,216183762,43992314,216117368
44061764,216071457,43995054,216005052
43988065,215994132,43921351,215927711
44049396,216242024,43982705,216175628
43921849,216058773,43855156,215992391
43998567,215988232,43931872,215921817
43988588,216128271,43921880,216061844
43917099,216006208,43850408,215939797
44003372,216032577,43936685,215966164
43915058,216068153,43848369,216001742
43870812,216041241,43804087,215974820
43998606,216143839,43931893,216077426
43936914,215981273,43870197,215914862
43981146,215996951,43914439,215930534
44039761,216119585,43973052,216053167
43909986,216134156,43843286,216067742
44042363,216057585,43975668,215991173
43996029,216126951,43929327,216060547
43877983,216117524,43811265,216051105
43937059,216104019,43870334,216037597
43991510,216129437,43924798,216063018
43877494,216092430,43810796,216025994
44032330,216194078,43965621,216127670
44054112,216237836,43987402,216171424
44110628,216261204,44043905,216194780
44061535,216357907,43994815,216291489
44000428,216107718,43933741,216041300
43932538,216233978,43865830,216167558
43992092,216064860,43925366,215998436
44043927,216080611,43977214,216014185
43992306,215997579,43925605,215931150
43991892,216129045,43925196,216062636
43932544,216062956,43865850,215996544
44052870,216140796,43986159,216074362
43994398,216196704,43927683,216130274
44042971,216000669,43976264,215934245
43994257,216133341,43927565,216066927
43978735,216011161,43912029,215944721
44037359,216338577,43970660,216272145
44051497,216266070,43984801,216199639
44049903,216133534,43983188,216067089
43925417,216108503,43858724,216042071
44114920,216310164,44048223,216243736
43930667,216126285,43863966,216059861
43917877,216144181,43851185,216077771
44042847,216336156,43976138,216269729
43998826,216050453,43932111,215984022
44055214,216072914,43988499,216006482
43995920,216168035,43929212,216101616
44042094,216232951,43975401,216166546
44115316,216169483,44048622,216103052
44032378,216345085,43965683,216278662
43999712,216108433,43933011,216042016
43988114,216053995,43921401,215987566
43928851,216189524,43862164,216123117
43992696,216124679,43926001,216058248
43999126,216133094,43932422,216066666
44045543,216076445,43978830,216010009
44038690,216121172,43971997,216054750
43995945,216040531,43929249,215974103
43982695,216061476,43915981,215995033
43922008,216001848,43855298,215935400
44049587,216182984,43982898,216116557
43928939,216189468,43862245,216123029
43970172,216005391,43903478,215938948
43967446,216078236,43900748,216011818
43969981,216082885,43903277,216016451
43916223,216130483,43849541,216064065
44039086,216253375,43972416,216186962
44033448,216259029,43966754,216192600
43922930,216067476,43856233,216001038
43986502,215996227,43919796,215929786
43966633,216089828,43899918,216023383
44103546,216244729,44036850,216178310
43917486,216074940,43850804,216008530
43927101,216046410,43860404,215979971
44110313,216270218,44043619,216203799
44108264,216273311,44041537,216206872
43928876,216053837,43862181,215987412
44039352,216122570,43972652,216056136
43926546,216047982,43859837,215981550
44114803,216241173,44048107,216174733
44029161,216344218,43962457,216277783
44104815,216251657,44038122,216185233
44034078,216253790,43967379,216187362
44033505,216315286,43966787,216248863
43991985,216081352,43925292,216014927
43984253,216116219,43917560,216049795
43918122,216138311,43851438,216071894
43968812,216062545,43902116,215996116
43968301,216092747,43901607,216026323
43961185,216166930,43894491,216100511
44051928,216116637,43985224,216050216
43987657,215994027,43920957,215927607
43980270,216115073,43913576,216048658
44034892,216146978,43968192,216080564
43987067,216113418,43920363,216046981
43957540,216008265,43890852,215941852
43983249,216149485,43916519,216083055
43966888,216197592,43900171,216131160
44018611,216419785,43951909,216353357
43983787,215997900,43917099,215931477
43963824,216013267,43897124,215946832
43917750,216054738,43851036,215988298
44041634,216122320,43974949,216055902
44108259,216201113,44041541,216134685
44026924,216419652,43960235,216353236
43978420,216061127,43911724,215994700
43987803,216060445,43921100,215994021
43958306,216081229,43891605,216014814
44102901,216201859,44036207,216135435
43980645,215994890,43913964,215928475
43990433,216057812,43923743,215991391
43982772,215938489,43916081,215872076
43926431,216107480,43859735,216041057
44031327,216343590,43964611,216277153
44026527,216418519,43959840,216352097
43975086,216117711,43908397,216051282
44095659,216275153,44028951,216208725
44026199,216400923,43959496,216334505
44038787,216309489,43972091,216243069
44001824,216055130,43935114,215988704
44030447,216131470,43963749,216065041
44030467,216352123,43963766,216285693
43988557,216072508,43921843,216006067
43915433,216116427,43848746,216050007
43970833,216090200,43904137,216023791
44093408,216219039,44026687,216152608
44037847,216077995,43971138,216011561
44037604,215998862,43970912,215932444
44105528,216273980,44038832,216207560
44029612,216211143,43962921,216144724
43960929,216080150,43894228,216013727
44034733,216274130,43968018,216207699
43962220,216158199,43895535,216091796
43970676,216157437,43903978,216091020
43970987,216139725,43904266,216073301
43922617,216145580,43855917,216079175
43910696,216118091,43844002,216051672
43971539,216151961,43904827,216085549
43979740,216061331,43913028,215994916
43977249,216118101,43910534,216051679
44016815,216421057,43950110,216354641
43962728,216092691,43896019,216026264
43963490,216157461,43896772,216091038
44047662,216116260,43980977,216049874
44034100,216122668,43967399,216056268
44026287,216414147,43959578,216347729
44033942,216010186,43967228,215943786
44057503,216183251,43990782,216116833
43922408,216050052,43855685,215983640
43969078,216157990,43902377,216091594
43985008,216051973,43918284,215985552
43988123,216060099,43921416,215993701
43966242,216065604,43899541,215999198
43971555,216082313,43904820,216015901
43992122,215987499,43925427,215921094
44045901,216256277,43979194,216189875
44034663,216063249,43967946,215996825
44042342,216008453,43975636,215942042
44112010,216268504,44045308,216202102
43991277,216052854,43924579,215986451
43918249,216064445,43851550,215998039
44034722,216063177,43968011,215996766
43960116,216074806,43893411,216008396
43995032,216051663,43928316,215985256
43995070,216100235,43928376,216033858
43961420,216122143,43894703,216055732
43969349,216052761,43902647,215986363
43922625,216058010,43855916,215991615
44038761,216343806,43972062,216277399
44041708,216410479,43975007,216344084
44037886,216337998,43971195,216271618
44048432,216045374,43981711,215978960
44112172,216293438,44045455,216227028
43954219,215979842,43887509,215913429
43919661,216003636,43852958,215937235
43919982,216126723,43853264,216060306
43999210,216043892,43932515,215977494
43914142,216143311,43847423,216076898
43990344,216107545,43923642,216041144
43993869,216298064,43927149,216231667
43925152,216052426,43858440,215986016
44043824,216330523,43977135,216264144
43885097,216155961,43818384,216089559
44062757,216352074,43996042,216285659
44001266,216397172,43934562,216330766
44004270,216108490,43937549,216042066
44063035,216239130,43996336,216172741
44072183,216028250,44005492,215961865
44001121,216112653,43934406,216046239
43911142,216064391,43844414,215997978
43992174,216050930,43925475,215984530
44127524,216221221,44060832,216154844
44026352,216044369,43959659,215978000
44080367,216221825,44013653,216155409
43987500,216048931,43920801,215982548
43995579,215987087,43928884,215920709
44071904,216304001,44005181,216237600
44048363,216111466,43981656,216045077
43995056,216058779,43928358,215992400
44004725,215972315,43938030,215905931
44003625,216119854,43936926,216053463
43999460,215985282,43932737,215918876
43956300,216087826,43889593,216021428
43954604,216081833,43887900,216015444
44021544,216418866,43954851,216352472
43889310,216229074,43822593,216162658
44000737,216125830,43934011,216059423
43957573,216172043,43890872,216105659
44020455,216286326,43953750,216219929
44030145,216133776,43963435,216067391
43950775,216231069,43884073,216164681
44022373,216149248,43955662,216082843
44020634,216423882,43953912,216357478
44082444,216212562,44015736,216146164
44071593,215970484,44004884,215904087
44077161,216271622,44010437,216205207
44019206,216132945,43952495,216066554
43909927,216159796,43843233,216093401
44038162,216062300,43971446,215995886
43957989,216006785,43891277,215940379
43958244,216021894,43891526,215955484
44038383,216258141,43971687,216191761
44019246,216211753,43952545,216145362
44017453,216110128,43950750,216043731
43967365,216076249,43900649,216009851
44095726,216132228,44028997,216065810
44083879,216291008,44017172,216224601
43910890,216066171,43844170,215999766
43908904,216063563,43842181,215997144
44083956,216213619,44017252,216147212
44082324,216365260,44015613,216298860
43964452,216162615,43897749,216096220
44031487,216068441,43964791,216002049
43956274,216087321,43889588,216020942
44035673,216345877,43968951,216279463
44026415,216216341,43959732,216149969
43960879,216139076,43894153,216072657
43965954,216010070,43899236,215943678
44026355,216258423,43959655,216192013
43919302,216053138,43852601,215986746
44034780,216317085,43968067,216250660
43913470,215998555,43846768,215932162
44030926,216421270,43964212,216354866
44047121,216272468,43980408,216206063
43983908,215998787,43917185,215932380
43993867,216104016,43927159,216037621
44026470,216059144,43959745,215992730
43956253,216009555,43889521,215943139
43932083,216165807,43865382,216099405
43979635,216047077,43912936,215980685
44043650,216330197,43976952,216263806
43993046,216107917,43926335,216041514
43957735,216135559,43891009,216069145
44031377,216332757,43964657,216266351
44000608,215979534,43933883,215913120
43983674,216149016,43916975,216082630
44061538,216240646,43994818,216174238
43998114,215979464,43931392,215913054
43999214,216050042,43932511,215983634
44056751,216110755,43990051,216044369
44056994,216331709,43990281,216265310
44057631,216359752,43990908,216293345
43992687,216371959,43925981,216305553
43921443,216058687,43854732,215992285
43917210,216129486,43850497,216063078
44061000,216055841,43994288,215989432
43879483,216097557,43812791,216031173
43993195,216103173,43926508,216036757
43932721,216178462,43866035,216112079
44009384,216346567,43942675,216280152
43982452,216054523,43915756,215988108
43998492,216263771,43931774,216197348
44052393,216362446,43985679,216296023
43957813,216344355,43891125,216277963
44041499,216363607,43974791,216297189
44005435,216245546,43938738,216179141
44000686,216382919,43933978,216316498
43944808,216103931,43878117,216037528
44051277,215989779,43984569,215923379
43953485,216170004,43886779,216103603
44008260,216145945,43941561,216079548
43951971,216091142,43885256,216024733
43945845,216147441,43879144,216081035
44041580,216118274,43974886,216051860
44000121,216099814,43933420,216033415
43915317,216047412,43848613,215981003
44070696,216228404,44003998,216162008
43885125,216092944,43818419,216026555
43993402,216101913,43926695,216035526
43942954,216104780,43876231,216038358
43955435,215967337,43888750,215900949
44020773,216089926,43954047,216023515
44082028,216305663,44015316,216239252
44075690,215967431,44008966,215901014
44015536,216143793,43948835,216077392
43996803,216025306,43930092,215958909
44029174,216203871,43962480,216137482
43949402,215962121,43882689,215895718
43955123,216166836,43888430,216100429
44013486,216047556,43946784,215981138
44071231,216289302,44004537,216222913
44005486,216102657,43938788,216036242
44031230,216093798,43964525,216027394
44072837,215973847,44006141,215907451
44025274,216420267,43958582,216353862
44030278,216090143,43963574,216023738
44033133,216258802,43966437,216192403
43964944,216191833,43898237,216125424
43958154,216089575,43891446,216023158
44019361,216144592,43952656,216078175
44061490,216050244,43994790,215983822
44086189,216356796,44019501,216290387
43974141,216087422,43907433,216020995
44095027,216148292,44028325,216081869
44031591,216272149,43964882,216205721
44091115,216257682,44024404,216191253
43920289,216131529,43853593,216065119
44017811,216040152,43951100,215973741
44033389,216131050,43966707,216064659
43967538,216214834,43900849,216148430
43950308,216150170,43883594,216083740
43960753,216220602,43894059,216154191
44031595,216208133,43964905,216141717
44091571,216144074,44024871,216077645
43956467,216013442,43889767,215947021
44001689,216094669,43934977,216028263
44087392,216269594,44020673,216203168
44033759,216091791,43967039,216025377
43974959,216157256,43908262,216090833
43977573,216152083,43910861,216085659
44026703,216399904,43959995,216333489
43948867,216167978,43882171,216101565
44091699,216345667,44024999,216279245
44030670,216297114,43963968,216230706
44034609,216127296,43967920,216060879
44037990,216344088,43971276,216277658
44042342,216409883,43975624,216343450
44035404,216060455,43968701,215994036
44071908,216365473,44005185,216299036
43956220,216079743,43889520,216013316
43960750,216083408,43894053,216016978
43960592,216095848,43893884,216029424
43978420,216128722,43911717,216062284
44091425,216257889,44024711,216191455
44029678,216337051,43962983,216270610
44035897,216343128,43969199,216276679
44042010,216407158,43975308,216340710
44009628,215973100,43942926,215906660
44039014,216120854,43972324,216054426
44034081,216314725,43967380,216248287
43965613,216157904,43898921,216091475
44030768,216092760,43964062,216026320
44035894,216381015,43969195,216314570
44077896,216327737,44011203,216261304
44038622,216000431,43971919,215933986
44042850,216399662,43976143,216333214
44034284,216267928,43967589,216201492
44020149,216149448,43953465,216083019
43978537,216151124,43911840,216084695
44039957,216341094,43973248,216274667
44027143,216403072,43960432,216336633
44028647,216267933,43961960,216201497
44031734,216201361,43965037,216134922
44088108,216214107,44021421,216147668
43970927,216139801,43904223,216073361
44083624,216361943,44016924,216295512
44027387,216353663,43960697,216287237
44026511,216418551,43959802,216352113
44024108,216413775,43957411,216347348
44074021,216297839,44007294,216231387
43967674,216100550,43900983,216034118
44082900,216298155,44016208,216231724
43957838,216087867,43891131,216021426
44034423,216282629,43967733,216216201
44032176,216348371,43965485,216281936
44042195,216262068,43975493,216195629
44088610,216227924,44021921,216161502
44020414,216395459,43953722,216329026
44033133,216324887,43966439,216258451
44025264,216271313,43958566,216204880
44038438,216399455,43971732,216333018
43958898,216094984,43892206,216028558
44038648,216407947,43971940,216341512
44036078,216090514,43969383,216024082
43974686,216015206,43907968,215948770
43964905,216010651,43898213,215944215
43955101,216171488,43888398,216105059
44029214,216088157,43962526,216021730
43914352,216145166,43847663,216078736
44039702,216343410,43972990,216276970
43975610,216157121,43908913,216090694
44036459,216265239,43969766,216198805
44055401,216057890,43988690,215991447
43958785,216166795,43892077,216100351
44040309,216013564,43973623,215947147
44035823,216006298,43969111,215939857
43954015,216141350,43887306,216074913
43962298,216123842,43895605,216057414
44079585,216221081,44012890,216154655
44033521,216408460,43966828,216342031
44036212,216118545,43969505,216052108
43917608,216072278,43850922,216005848
44100069,216251293,44033364,216184859
43962419,216010588,43895705,215944141
43917741,216003526,43851053,215937107
43915404,216088838,43848703,216022388
44099728,216138494,44033027,216072048
44089413,216290626,44022726,216224187
43917346,216055661,43850644,215989214
44031035,216343893,43964333,216277445
44040352,216379108,43973652,216312672
43991851,215995992,43925158,215929557
