0.15,-57.45,-75.48,107.90,0.127,0.20,-56.21,-74.18,129.08,0.254
0.16,-56.91,-73.97,106.65,0.127,0.19,-55.74,-75.85,189.83,0.254
0.16,-57.48,-77.05,88.50,0.127,0.20,-56.93,-73.72,117.70,0.254
0.16,-58.41,-79.42,87.32,0.127,0.21,-56.21,-76.74,137.53,0.254
0.17,-57.88,-75.73,90.52,0.127,0.20,-56.54,-73.25,130.58,0.254
0.18,-58.13,-78.06,91.50,0.127,0.18,-56.40,-74.39,231.60,0.254
0.15,-58.82,-76.44,106.03,0.127,0.20,-56.35,-78.45,172.04,0.254
0.17,-57.63,-76.73,103.40,0.127,0.18,-56.15,-74.73,121.00,0.254
0.16,-57.42,-74.41,102.89,0.127,0.20,-56.05,-75.73,125.36,0.254
0.11,-57.75,-76.60,93.72,0.127,0.22,-56.51,-72.80,116.95,0.254
0.13,-58.26,-74.75,93.20,0.127,0.20,-56.52,-76.45,120.08,0.254
0.14,-59.20,-76.37,99.25,0.127,0.19,-56.06,-76.91,217.30,0.254
0.16,-57.80,-78.59,83.48,0.127,0.20,-56.27,-73.72,116.55,0.254
0.15,-58.58,-75.01,79.25,0.127,0.19,-56.45,-76.41,121.39,0.254
0.15,-57.07,-75.60,83.19,0.127,0.21,-56.02,-74.67,111.05,0.254
0.15,-56.65,-77.57,80.69,0.127,0.22,-56.32,-76.55,114.56,0.254
0.15,-57.76,-74.72,103.57,0.127,0.21,-56.31,-76.47,124.36,0.254
0.16,-57.41,-75.68,104.07,0.127,0.21,-57.12,-74.60,164.39,0.254
0.15,-57.81,-78.09,102.07,0.127,0.20,-55.99,-75.83,139.41,0.254
0.16,-57.56,-73.98,102.48,0.127,0.20,-56.43,-73.37,127.64,0.254
0.14,-57.50,-74.70,85.52,0.127,0.22,-55.55,-74.25,159.57,0.254
0.15,-58.39,-78.48,77.31,0.127,0.19,-55.82,-75.62,187.79,0.254
0.15,-58.07,-74.64,95.70,0.127,0.18,-57.25,-75.33,124.92,0.254
0.19,-57.82,-74.43,79.62,0.127,0.21,-56.90,-78.92,111.22,0.254
0.16,-57.68,-77.20,79.81,0.127,0.20,-56.18,-72.71,119.45,0.254
0.17,-58.78,-75.38,86.73,0.127,0.21,-56.11,-74.25,128.89,0.254
0.17,-57.94,-75.44,88.32,0.127,0.16,-56.01,-77.17,180.04,0.254
0.16,-57.56,-76.64,86.82,0.127,0.18,-56.10,-73.64,196.54,0.254
0.14,-56.90,-73.15,98.12,0.127,0.18,-56.69,-78.04,208.95,0.254
0.16,-57.94,-74.47,111.82,0.127,0.20,-56.18,-73.32,147.37,0.254
0.16,-57.41,-77.84,103.72,0.127,0.20,-56.60,-77.47,111.86,0.254
0.20,-58.45,-75.54,92.87,0.127,0.18,-56.76,-74.32,162.50,0.254
0.16,-57.60,-74.58,85.79,0.127,0.21,-56.17,-74.11,117.60,0.254
0.16,-58.01,-78.46,84.50,0.127,0.20,-56.02,-72.39,128.61,0.254
0.17,-58.02,-75.39,87.71,0.127,0.22,-56.61,-73.95,128.19,0.254
0.14,-58.31,-75.07,100.02,0.127,0.21,-56.06,-76.00,124.39,0.254
0.16,-57.62,-79.44,99.45,0.127,0.18,-56.36,-72.92,130.33,0.254
0.17,-57.71,-73.78,96.56,0.127,0.20,-55.56,-74.21,128.00,0.254
